Depth CCSF (m),filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,cps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Mn,Fe,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Ru,Rh,Pd,Cd,Sb,Ba,Ce,Pr,Nd,Tb,Tm,Lu,Hf,Os,Ir,Pt,Hg,Tl,Pb,Th,Pa,U,Cr kb,Ca ka-a sum,Ca ka-b sum,S2,W la,W la scat,W lb1,W lb1 scat,W lb2,W lb2 scat,Cr inc,Cr coh,Dt,Unnamed: 68,SectionFile,SectionLabel,File,Core,Section Top Depth CCSF (m),Section Bottom Depth CCSF (m)
21.64,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000543.spe,1091.6,6.23,1,0.021481999999999998,-0.002728,0.009691,0.085882,37222,5.24,0,343,3100,0,75,6580,2400,17114,375985,0,12225,368,0,21737,250,126,70,149,19,167,1707,75,294,0,0,77,105,0,861,0,167,510,0,96,6,0,44,25,0,124,0,0,50,0,5,6210,408,36,5115,50,0,111,95,0,0,12538,35885,0.094,,U1474D_4H1-L000543.spe,U1474D_4H1,L000543.spe,U1474D_4,20.548000000000002,22.048000000000002
21.66,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000553.spe,1111.6,6.21,1,0.021481999999999998,-0.002728,0.009691,0.085882,36799,5.88,24,318,3173,0,55,6495,2433,17350,373229,0,12246,186,0,21315,181,112,54,146,0,142,1683,129,357,0,0,94,34,0,740,0,268,385,48,14,15,18,10,87,0,107,0,0,0,19,95,6428,442,53,5229,80,79,0,154,0,148,12857,35736,0.094,,U1474D_4H1-L000553.spe,U1474D_4H1,L000553.spe,U1474D_4,20.548000000000002,22.048000000000002
21.68,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000564.spe,1133.6,6.19,1,0.021481999999999998,-0.002728,0.009691,0.085882,36666,5.52,0,328,3001,0,115,6555,2406,16778,358032,0,12408,318,0,21484,205,150,10,85,116,205,1706,123,247,0,0,89,106,0,830,0,231,449,0,138,53,86,9,17,0,109,0,0,62,0,31,6367,356,43,5511,143,8,0,97,0,140,12608,36254,0.095,,U1474D_4H1-L000564.spe,U1474D_4H1,L000564.spe,U1474D_4,20.548000000000002,22.048000000000002
21.7,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000574.spe,1153.6,6.17,1,0.021481999999999998,-0.002728,0.009691,0.085882,37138,5.95,0,333,2926,0,115,6559,2367,16522,372206,0,11705,227,0,21236,218,127,55,146,110,171,1749,104,227,0,0,99,45,0,759,0,154,236,0,21,0,18,70,9,0,87,0,0,29,19,122,6407,450,60,5764,41,0,16,97,0,38,13283,35397,0.094,,U1474D_4H1-L000574.spe,U1474D_4H1,L000574.spe,U1474D_4,20.548000000000002,22.048000000000002
21.72,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000584.spe,1173.6,6.13,1,0.021481999999999998,-0.002728,0.009691,0.085882,36775,5.71,0,321,2939,0,103,6692,2430,16595,373310,0,12238,189,0,20940,187,179,114,103,70,238,1674,59,207,0,0,6,116,0,701,0,220,569,0,90,0,0,0,0,0,102,0,26,26,0,43,6503,381,32,5267,57,0,159,0,0,0,11790,35811,0.095,,U1474D_4H1-L000584.spe,U1474D_4H1,L000584.spe,U1474D_4,20.548000000000002,22.048000000000002
21.74,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000594.spe,1193.6,6.08,1,0.021481999999999998,-0.002728,0.009691,0.085882,36771,5.97,0,321,3000,0,105,6417,2248,16324,371386,0,12076,142,0,20504,239,114,69,142,64,209,1649,79,226,0,0,142,75,0,718,0,273,573,0,87,0,15,80,58,0,128,0,0,82,55,70,6436,405,60,5447,112,56,21,102,0,44,11585,36256,0.09300000000000001,,U1474D_4H1-L000594.spe,U1474D_4H1,L000594.spe,U1474D_4,20.548000000000002,22.048000000000002
21.76,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000604.spe,1213.6,6.07,1,0.021481999999999998,-0.002728,0.009691,0.085882,36821,6.06,0,350,2884,0,54,6670,2459,16092,366403,0,12218,97,0,20153,195,133,36,67,94,174,1759,160,283,0,0,0,100,0,590,0,298,391,0,92,53,17,20,0,0,208,0,15,56,133,63,6461,339,38,5986,70,19,254,36,0,0,11995,35174,0.092,,U1474D_4H1-L000604.spe,U1474D_4H1,L000604.spe,U1474D_4,20.548000000000002,22.048000000000002
21.78,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000614.spe,1233.6,6.06,1,0.021481999999999998,-0.002728,0.009691,0.085882,36893,5.79,0,300,2820,0,65,6599,2356,16183,369788,0,11914,252,0,20462,244,89,30,74,42,192,1716,177,304,0,0,45,113,0,901,0,157,332,0,87,37,0,10,21,0,178,0,33,61,0,143,6436,464,33,5635,86,37,0,151,0,167,12823,35475,0.094,,U1474D_4H1-L000614.spe,U1474D_4H1,L000614.spe,U1474D_4,20.548000000000002,22.048000000000002
21.8,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000624.spe,1253.6,6.07,1,0.021481999999999998,-0.002728,0.009691,0.085882,36647,5.96,0,343,2844,0,68,6404,2367,16192,372998,0,11886,184,0,20495,194,113,19,80,102,168,1691,129,305,0,0,96,115,0,719,0,222,489,0,83,46,43,90,0,0,139,0,9,9,78,122,6431,464,21,5599,79,58,0,107,0,179,12155,35300,0.094,,U1474D_4H1-L000624.spe,U1474D_4H1,L000624.spe,U1474D_4,20.548000000000002,22.048000000000002
21.82,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000634.spe,1273.6,6.06,1,0.021481999999999998,-0.002728,0.009691,0.085882,36753,5.91,0,340,2906,0,109,6651,2563,16091,373914,0,11294,248,0,20362,211,136,70,82,64,173,1709,100,182,0,0,98,86,0,1035,0,197,323,0,24,35,28,20,17,0,168,0,28,83,84,26,6098,402,17,5196,94,20,246,93,0,0,12729,34758,0.09300000000000001,,U1474D_4H1-L000634.spe,U1474D_4H1,L000634.spe,U1474D_4,20.548000000000002,22.048000000000002
