Solution Type,Solution Label,Site,Time,Al 308.215,Ba 233.527,Ca 422.673,Cr 267.716,Cu 324.754,Fe 259.940,K 766.491,Mg 285.213,Mn 257.610,Na 589.592,Ni 231.604,P 178.222,P 213.618,Sc 361.383,Si 251.611,Si 288.158,Sr 407.771,Ti 334.941,V 292.401,Y 371.029,Zn 206.200,Zr 343.823,Dilution Factor,Depth CCSF (m)
Sample,1478 14H6,U1478,14:39:01,97313.3,6321.24,8.68E+06,2587.29,514.822,155526,4.51E+05,176963,17165,2.11E+06,1.24E+02,61.1408,227.272,1.35E+03,236556,408756,987518,366544,1026.42,952.985,147.287,8453.63,4558.21,
Sample,1478 17H2,U1478,14:40:51,101721,7624.42,7.35E+06,2599.2,442.916,141846,477324,184526,17906.6,2.36E+06,107.784,47.1261,205.602,1249.85,247623,429491,1.14E+06,356358,913.287,947.875,133.24,7773.81,4420.65,
Sample,1478 21H2,U1478,14:42:42,8.58E+04,8310.77,8.00E+06,2041.67,436.809,101356,463070,1.60E+05,16074.6,2.24E+06,92.9877,45.404,169.36,954.595,258174,446882,1.30E+06,274695,702.655,697.299,87.3164,6247.32,4488.67,
Sample,1478 22H2,U1478,14:44:32,104071,7826.22,8.47E+06,2388.01,5.59E+02,145512,501475,216718,21102.8,2.29E+06,93.2316,51.1658,215.24,1335.98,252171,436363,1.29E+06,330641,948.185,1113.39,118.221,6936.73,4273.63,
Drift Monitor,D,,14:46:23,94843.3,8.45E+03,1.12E+07,1910.46,575.364,144797,365571,152409,21743,1.82E+06,107.392,55.167,215.183,1375.47,216308,373174,1.43E+06,300615,969.893,1002.77,172.964,6460.92,4000,
Sample,1478 25H4,U1478,14:48:13,101010,6632.81,9.60E+06,2269.96,535.199,157293,453223,193406,19884.9,2.13E+06,106.397,61.6781,220.592,1421.04,217377,375714,1.37E+06,348088,996.758,976.586,128.571,7384.83,4460.65,
Blank,B,,14:50:03,1474.97,108.866,6.93E+04,213.585,309.102,3696.3,2222.61,10008.7,1208.96,6.13E+04,41.0911,49.88,59.4457,161.007,2396.49,4287.83,6859.37,9721.97,174.618,94.5776,38.566,179.85,4000,
Sample,1478 26H4,U1478,14:51:53,103388,7976.03,7.70E+06,2430.6,523.792,147470,485678,177518,19764,2.32E+06,109.194,52.7274,202.161,1257.87,246961,428003,1.12E+06,345080,934.126,949.293,123.136,9251.88,4368.66,
Sample,1478 27H1,U1478,14:53:44,95128.2,7977.4,7.40E+06,2911.17,471.615,139285,448191,167021,20393.4,2.31E+06,101.414,54.6715,232.054,1260.63,263133,456410,1.14E+06,384904,919.188,959.925,123.655,9821.15,4336.72,
Sample,1478 31H2,U1478,14:55:34,71520.5,5966.1,1.22E+07,3055.88,433.958,118174,318954,127912,19465.8,1.79E+06,87.2447,73.399,265.574,1041.27,202460,349902,1.51E+06,373883,816.421,964.925,132.597,13462.9,4416.39,
Drift Monitor,D,,14:57:25,94553.1,8405.24,1.12E+07,1922.39,596.478,144553,366059,152194,21766.4,1.81E+06,89.9341,58.5424,239.627,1351.96,215430,372168,1.43E+06,299422,938.271,1010.86,168.688,6502.31,4000,
Sample,1478 31H4,U1478,14:59:16,95345.7,7622.68,9.54E+06,2958.62,436.81,128676,422039,143694,17991.4,2.17E+06,97.6754,54.5604,218.271,1190.91,242015,418707,1.15E+06,357848,820.404,904.453,133.014,10930.5,4412.023115,
Sample,1478 32H2,U1478,15:01:06,82297.6,5963.74,8.80E+06,2483.3,430.276,130731,346142,137407,15512.1,1.86E+06,90.6964,95.3623,458.037,1111.44,230876,400101,936987,304513,825.828,919.281,116.105,8759.02,4528.573913,
Sample,1478 32H4,U1478,15:02:57,71308.7,5852.52,1.30E+07,2739.11,445.074,112873,326562,121059,14801.1,1.72E+06,86.3402,56.4432,268.118,971.166,215820,372846,1.27E+06,292329,743.582,964.214,113.686,9545.86,4431.765652,
Blank,B,,15:04:47,956.93,218.136,6.17E+04,189.014,1184.66,1523.97,7931.35,2982.09,3058.71,1.17E+06,51.8023,51.8165,70.385,206.026,1832.84,3302.52,7583.05,2931.82,167.811,22.3543,44.3619,225.951,4000,
Drift Monitor,D,,15:06:37,95208.4,8466.11,1.12E+07,1898.38,614.064,145107,368801,153299,21853.3,1.84E+06,107.937,51.9529,235.182,1363.5,217146,375025,1.44E+06,301517,952.1,1026.46,176.242,6511.78,4000,
Sample,1474 1H1,U1474,15:08:28,93313.6,10398,1.24E+07,1496.62,504.383,143157,244814,139131,24580.9,1.89E+06,95.1908,50.6241,208.429,1381.32,209445,361402,1.33E+06,273609,925.326,1070.63,118.926,6605.55,4431.9,1
Sample,1474 2H1,U1474,15:10:18,117221,12177.3,1.07E+07,1910.59,759.403,180095,341144,167105,27078.7,2.19E+06,113.119,59.4197,242.145,1705.92,234525,406480,1.22E+06,333626,1143.65,1322.79,165.126,6129.85,4029.8,5.99
Sample,1474 2H5,U1474,15:12:09,73599.9,8021.82,1.63E+07,1205.02,685.198,106124,201395,108656,25881.1,1.14E+06,72.1903,58.9048,269.568,1138.25,159082,273466,2.05E+06,203542,727.177,958.085,158.375,4818.96,4424.55,10.365
Sample,1474 3H3,U1474,15:13:59,85954.8,8478.91,1.48E+07,1415.02,540.672,141207,206146,131651,23554.7,1.47E+06,102.795,57.7699,254.938,1365.16,170061,292697,1.99E+06,230624,1020.68,930.003,132.582,4718.35,4385.4,16.963
Sample,1474 3H5,U1474,15:15:49,79864.3,10206.5,1.51E+07,1273.47,714.958,127286,220218,120534,24641.6,1.15E+06,85.7087,60.4814,226.738,1232.19,161736,278549,1.99E+06,219071,844.735,1104.6,140.149,3816.74,4477.28,19.963
Drift Monitor,D,,15:17:40,94859.2,8450.69,1.12E+07,1907.44,588.733,144615,365457,152293,21739.1,1.82E+06,103.949,57.3052,229.315,1346.53,215779,373294,1.43E+06,300703,969,1011.82,177.127,6486.62,4000,
Sample,1474 4H4,U1474,15:19:30,88380.9,9470.45,1.38E+07,1464.9,547.005,139872,267917,144862,20487.5,1.77E+06,107.21,47.876,212.948,1311.38,211389,364581,1.64E+06,260786,969.235,1050.3,113.903,6515.62,4238.1,30.626
Sample,1474 6H2,U1474,15:21:20,119840,9638.8,1.03E+07,1706.08,794.754,202270,451590,190510,23418.2,1.94E+06,112.82,53.1047,205.612,1795.02,231137,399924,1.29E+06,302946,1211.12,1159.76,174.423,5131.02,4327.57,48.03
Sample,1474 6H5,U1474,15:23:10,93242.2,11135.7,1.40E+07,1451.26,747.861,140597,330597,147268,27381.4,1.46E+06,99.4188,58.025,243.356,1431.03,193527,334369,1.78E+06,259312,903.432,1158.55,128.017,4448.03,4395.99,52.61
Sample,1474 7H7,U1474,15:25:00,106039,10134.9,1.08E+07,1473.18,710.35,178535,376892,160421,20386.3,1.76E+06,124.09,43.3704,170.977,1555.56,214968,371669,1.33E+06,275714,1060.68,1148.15,163.278,4922.61,4413.46,65.06
Blank,B,,15:26:51,494.143,78.6938,28430.1,132.918,337.111,679.852,2137.04,943.689,1095.89,40754.8,38.5035,70.8408,68.2143,178.646,564.883,1143.3,3013.34,999.208,190.024,47.1087,29.5796,175.395,4000,
