Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth CCSF-361-U1474-ABDEF-20160220 (m),Container number,Weight (mg),%CaCO3,%Carbon,Name ,Code 
361,U1474,A,19,H,2,W,101,169.41,181.209,17360,6.45,38.99,4.68,U1474A 19H2-56,DB56
361,U1474,A,19,H,4,W,100,172.42,184.219,17361,7.98,44.15,5.3,U1474A 19H4-57,DB57
361,U1474,A,19,H,6,W,101,175.45,187.249,17362,6.45,52.05,6.25,U1474A 19H6-58,DB58
361,U1474,A,20,H,2,W,96,178.86,193.015,17363,5.4,47.33,5.68,U1474A 20H2-59,DB59
361,U1474,A,20,H,4,W,97,181.87,196.025,17364,6.4,46.59,5.59,U1474A 20H4-60,DB60
361,U1474,A,20,H,5,W,102,183.41,197.565,17365,5.22,52.44,6.29,,
361,U1474,A,21,H,2,W,106,188.46,205.957,17366,5.24,43.72,5.25,,
361,U1474,A,21,H,4,W,106,191.45,208.947,17367,7.89,45.25,5.43,,
361,U1474,A,21,H,6,W,105,194.43,211.927,17368,8.14,36.58,4.39,,
361,U1474,A,22,H,2,W,102,197.92,216.915,17369,5.18,39.62,4.75,,
361,U1474,A,22,H,4,W,120,201.12,220.115,17371,6.86,47.47,5.7,,
361,U1474,A,23,H,2,W,106,207.46,224.425,17374,7.52,55.55,6.67,,
361,U1474,A,23,H,4,W,106,210.46,227.425,17375,6.49,56.32,6.76,,
361,U1474,A,23,H,6,W,106,213.45,230.415,17376,8.71,53.96,6.48,,
361,U1474,A,24,H,2,W,110,217,236.184,17370,6.35,48.95,5.87,,
361,U1474,A,24,H,4,W,110,219.97,239.154,17372,6.5,47.05,5.65,,
361,U1474,A,25,H,2,W,102,224.51,244.048,17373,7.96,36.84,4.42,,
361,U1474,A,25,H,4,W,102,227.52,247.058,17377,7.96,45.92,5.51,,
361,U1474,A,25,H,6,,91,230.42,249.958,17378,5.53,76.63,9.2,,
