Depth CCSF (m),Al2O3,SiO2,K2O,TiO2,Fe2O3,CaO,Section
0.06,13.994348541934722,42.56124907143817,1.0109522580415025,0.7824341782521513,5.3003937825960925,31.560087788162015,U1474F_1H1
0.08,13.484172341599916,42.74855195322128,0.9465476534561587,0.7626286515390776,5.05887176572386,32.20869325488436,U1474F_1H1
0.1,13.7901501299456,43.81589004523618,1.0409801335677304,0.7802536803240377,5.309415587956367,30.472776043394735,U1474F_1H1
0.12,13.284060033982607,43.91880422105442,1.042433030163468,0.784931249557894,5.1113401496235,31.067896936042747,U1474F_1H1
0.14,13.330788063121297,44.22428117072591,1.0719025243821476,0.807318704255557,5.356734418836751,30.418440739102987,U1474F_1H1
0.16,13.325418243141458,43.55921980213515,0.9676960526260231,0.7641378966853997,4.833639534120385,31.759354091716233,U1474F_1H1
0.18,13.367355888474872,44.43468148698759,1.0702333560892379,0.8005616628063419,5.303667512227726,30.232965713838887,U1474F_1H1
0.2,13.545090089655442,44.80857969959329,1.163582020056773,0.834931254178272,5.626351755678536,29.230930801262343,U1474F_1H1
0.22,13.604143766599428,45.66691524180144,1.2488830659691441,0.853498377826539,5.926845405347544,27.909179762880566,U1474F_1H1
0.24,13.465134215617082,45.422447178652995,1.2063590787535192,0.8490622841218237,5.734403481905925,28.532059381373312,U1474F_1H1
0.26,14.490279888941428,45.80201773494206,1.2491799775035868,0.8545126523272061,5.925064522844342,26.888410843866037,U1474F_1H1
0.28,13.881094064745103,45.72265800470484,1.2684455960157506,0.8584768268002835,5.937462597827094,27.541328530331572,U1474F_1H1
0.3,13.607968171482923,45.69799319801839,1.2933318961095064,0.8668186521662351,6.177992236513048,27.565361466134547,U1474F_1H1
0.32,13.77153951475736,45.83313730152951,1.2293516652022909,0.8410249734482952,5.852924570756996,27.6814875947302,U1474F_1H1
0.34,14.090082635421707,45.01040138053702,1.2310971820088854,0.8626750080360615,6.142521483978631,27.872687930442343,U1474F_1H1
0.36,13.769134616344237,45.44784704276936,1.2241180248783359,0.8565524818316426,5.908046599040562,28.00376685556051,U1474F_1H1
0.38,13.668581700509122,45.63128536059118,1.3029256318500093,0.9019990152773847,6.168003353802811,27.536670558394153,U1474F_1H1
0.4,13.639141908287968,45.04004272063538,1.2193481008874831,0.8576560213259848,6.003219234261576,28.45005763502625,U1474F_1H1
0.42,13.435497606310241,46.22176875507529,1.2901883117682622,0.8700527875636652,5.981237790769682,27.41072036893751,U1474F_1H1
0.44,13.082115989038526,45.91991432142897,1.2428054051185868,0.863417766200667,5.8171862413184146,28.284025897319488,U1474F_1H1
0.46,13.497276108460671,45.91595308682352,1.3245487083159915,0.8915646019616911,6.133893879932009,27.446229234930765,U1474F_1H1
0.48,13.359490170736127,46.43483098078915,1.2975092105225272,0.8752058923601638,6.033086147963032,27.20934321805366,U1474F_1H1
0.5,13.714568947351221,46.58341124210685,1.333954527250144,0.8738489324380837,6.074844142112646,26.6288378291657,U1474F_1H1
0.52,14.030500333012508,46.487141338940766,1.4087448211447924,0.8954480697936295,6.2817210837686925,26.105909973764255,U1474F_1H1
0.54,13.226211022939271,46.43438005386502,1.435617706310673,0.8838619287030333,6.815535773520954,26.4138591350857,U1474F_1H1
0.56,13.18475470105898,46.24184877359326,1.4765721469495103,0.8802105677300942,7.44842230459217,25.97765712650063,U1474F_1H1
0.58,13.427079977108361,47.08893808458153,1.635631183003107,0.9179950537671413,7.878100794974775,24.261720526989727,U1474F_1H1
