,Al2O3/CaO,Fe2O3/CaO,K2O/CaO,SiO2/CaO,TiO2/CaO
_,0.80536554,0.828594848,1.255614425,0.648109431,0.656925935
_,4.732034454,0.866980908,0.879214023,3.570286386,-1.322590153
