Exp,Site,Hole,Type,Section,SectionLabel,Top Offset (cm),Depth (m CCSF),MSE,Al2O3,SiO2,K2O,TiO2,Fe2O3,CaO
361,U1474,F,H,2,U1474F_1H2,6.257999999999999,1.56,9.84,13.17448433482951,47.25699866796116,1.6017873376537684,0.8923529550857802,6.287450689633494,25.99639163526092
361,U1474,F,H,2,U1474F_1H2,8.258,1.58,10.16,13.125672452372747,45.95641466454813,1.600667359604279,0.9057749189918591,6.355099871858667,27.26583635304896
361,U1474,F,H,2,U1474F_1H2,10.258,1.6,9.91,13.399103894286874,45.447509642689845,1.56585556452592,0.9243034444900007,6.283923691456631,27.588769382975386
361,U1474,F,H,2,U1474F_1H2,12.258,1.62,9.87,12.916371516067905,44.573796750630436,1.5116595103506534,0.9159211930020507,6.3463586141654815,28.94535803620812
361,U1474,F,H,2,U1474F_1H2,14.258,1.64,10.3,13.227279968863401,45.46300197162124,1.4310566421706756,0.8678407092868387,5.87556212401358,28.344724204468914
361,U1474,F,H,2,U1474F_1H2,16.258000000000006,1.66,10.12,12.768037433106437,44.95117560874795,1.3880944501934105,0.8820329936169464,5.649168780460426,29.57095635429946
361,U1474,F,H,2,U1474F_1H2,18.258000000000006,1.68,10.11,12.80460188228931,45.051305595316215,1.428214430830284,0.9029736846290752,5.956395059466823,29.065974967892934
361,U1474,F,H,2,U1474F_1H2,20.258000000000006,1.7,10.53,12.947095189127355,45.504158582963235,1.3836670059949763,0.8545424286177034,5.783977705676019,28.73602470804535
361,U1474,F,H,2,U1474F_1H2,22.258000000000006,1.72,10.62,13.000842916500696,45.78931512152258,1.389220072058719,0.8582873892820561,5.624397188180016,28.547402932880583
361,U1474,F,H,2,U1474F_1H2,24.258000000000006,1.74,11.38,12.83977007553019,45.50226392936141,1.339876894081875,0.8525099312643866,5.64468790455059,29.03035688563618
361,U1474,F,H,2,U1474F_1H2,26.258000000000003,1.76,11.1,13.331925149168908,45.30415154050139,1.3145412692771032,0.8174970555153224,5.61698632429318,28.824364281668725
361,U1474,F,H,2,U1474F_1H2,28.258000000000003,1.78,11.07,13.03167830684383,45.54865416733201,1.2960801086651745,0.8196888846478432,5.547096878950457,28.966267273985334
361,U1474,F,H,2,U1474F_1H2,30.258000000000003,1.8,10.93,12.764302875172152,45.0160195254659,1.3720742775486683,0.8499812319759635,5.876602440682207,29.330485269579746
361,U1474,F,H,2,U1474F_1H2,32.258,1.82,10.72,13.235380681428193,44.455398308226,1.3554507919260437,0.8390269878334194,5.68548164361568,29.63872720739529
361,U1474,F,H,2,U1474F_1H2,34.258,1.84,11.02,12.64175605216734,44.73252204803557,1.3508400184359863,0.8556041609476617,5.645497966657546,29.983245374180544
361,U1474,F,H,2,U1474F_1H2,36.258,1.86,10.85,12.386413225272781,44.68668036934106,1.3629493342658838,0.8689899673371755,5.593856504382645,30.310576219825094
361,U1474,F,H,2,U1474F_1H2,38.258,1.88,10.75,13.090758689615077,44.20956336182217,1.333907515056228,0.853618860798304,5.3042514239751934,30.417365769157673
361,U1474,F,H,2,U1474F_1H2,40.258,1.9,11.44,12.813397927946951,45.22420187207459,1.3696825060669977,0.862701941510408,5.648347528548021,29.29113384427767
361,U1474,F,H,2,U1474F_1H2,42.258,1.92,10.53,12.786501121631497,45.38105853583111,1.4785711460215765,0.8960281308860764,6.307481717990993,28.35982496806338
361,U1474,F,H,2,U1474F_1H2,44.258,1.94,10.52,12.73087024738761,45.56904080692527,1.4878465944638994,0.8943982734344121,6.417406410150534,28.109903288062906
361,U1474,F,H,2,U1474F_1H2,46.258,1.96,11.1,13.185287768260395,46.205721249424066,1.517044725519034,0.8855256745460155,6.110054316502363,27.305831886172754
361,U1474,F,H,2,U1474F_1H2,48.258,1.98,10.64,13.269752802204257,46.718981493727185,1.569362003153956,0.887778694330908,6.119772673533752,26.64381795347458
361,U1474,F,H,2,U1474F_1H2,50.258,2.0,10.3,13.069185719554284,46.52710615368804,1.6026464495393293,0.8905749943329644,6.597691241807899,26.52226106150213
361,U1474,F,H,2,U1474F_1H2,52.258,2.02,10.7,12.47847861640467,47.1808837722314,1.6068417121188452,0.8831647382562625,6.380950734653802,26.679146046759666
361,U1474,F,H,2,U1474F_1H2,54.258,2.04,10.53,12.874765870059592,47.20602650077489,1.5796257120054369,0.8884597975289674,6.2002047476260085,26.460382992429732
361,U1474,F,H,2,U1474F_1H2,56.258,2.06,10.9,13.636886394782977,47.128649917134574,1.6482136887227465,0.884477536342665,6.206504563981555,25.704733519460113
361,U1474,F,H,2,U1474F_1H2,58.258,2.08,10.4,13.666139277549599,48.070211944101096,1.8224265143906822,0.9305562765114379,6.890389564731926,23.8297420431399
361,U1474,F,H,2,U1474F_1H2,60.258,2.1,10.35,13.189774907844724,47.665438795799695,1.6762438089408946,0.9127987815915647,6.425803939507462,25.339405386740296
361,U1474,F,H,2,U1474F_1H2,62.258,2.12,10.63,13.110597749167663,47.897656032124985,1.6989116254260401,0.9083933777577446,6.501851088595424,25.092055747352784
361,U1474,F,H,2,U1474F_1H2,64.25800000000001,2.14,10.1,13.545517084783105,48.309872981321135,1.754858296925772,0.918597671266653,6.577832247589342,24.10278733853863
361,U1474,F,H,2,U1474F_1H2,66.25800000000001,2.16,10.12,13.193553775063851,48.168140468883735,1.7553664590610243,0.9371927094080825,6.562591729422281,24.592620478585665
361,U1474,F,H,2,U1474F_1H2,68.25800000000001,2.18,10.16,13.442385757100935,46.56677736710029,1.6431674288027809,0.9062842006240364,6.476929376533185,26.17392149026341
361,U1474,F,H,2,U1474F_1H2,70.25800000000001,2.2,10.5,13.336459506089996,46.69587730552142,1.595765993338183,0.9038162247122596,6.103462441921905,26.574084148840868
361,U1474,F,H,2,U1474F_1H2,72.25800000000002,2.22,10.57,13.130882530267916,47.8891611829483,1.599984637723211,0.8850665067888559,6.057729706160879,25.64664105653548
361,U1474,F,H,2,U1474F_1H2,74.25800000000002,2.24,10.85,13.134687902926917,47.37770937280095,1.6081801093468502,0.8923210592828845,6.305868987146615,25.890698188920414
361,U1474,F,H,2,U1474F_1H2,76.25800000000002,2.26,10.62,13.438329515955827,46.2231602952656,1.4887370312342814,0.8745323016372885,6.177642188971207,27.007064287360443
361,U1474,F,H,2,U1474F_1H2,78.25800000000002,2.28,10.16,12.906272984177917,47.267382464830035,1.6305766339116425,0.9060506203670542,6.862989475938142,25.636193441199847
361,U1474,F,H,2,U1474F_1H2,80.25800000000002,2.3,10.33,13.60902673458232,47.045040339117506,1.6104022371907203,0.8912411815245544,6.73981702778205,25.313938100227485
361,U1474,F,H,2,U1474F_1H2,82.25800000000002,2.32,10.24,13.676155365158452,46.44060017071534,1.5352169556896247,0.8715233637999598,6.4208891474100716,26.265080617651183
361,U1474,F,H,2,U1474F_1H2,84.25800000000002,2.34,10.76,13.224780910648278,45.91127911770071,1.4992033372443154,0.8692214242515934,6.157034567971235,27.54794626260852
361,U1474,F,H,2,U1474F_1H2,86.25800000000002,2.36,10.8,13.620262950677688,45.449674484570075,1.4618735178388471,0.8624584169740479,5.903147910147718,27.912048340216266
361,U1474,F,H,2,U1474F_1H2,88.25800000000002,2.38,10.18,13.251062335598773,45.464857364242654,1.3883544668864576,0.8379413756430429,5.716103409647896,28.551146668405814
361,U1474,D,H,2,U1474D_1H2,76.483,2.42,10.45,13.437913552577958,45.063952666101855,1.4701522858146794,0.8938734851386242,6.628338091214838,27.71523553957669
361,U1474,D,H,2,U1474D_1H2,78.483,2.44,9.36,13.172402728602604,44.40998667421665,1.3735406148315592,0.8635153262470154,6.7858185687884385,28.604201707738373
361,U1474,D,H,2,U1474D_1H2,80.483,2.46,10.72,13.419852809838739,44.25053249739315,1.2773509080878747,0.8205920222063002,5.651552169790932,29.78958521310764
361,U1474,D,H,2,U1474D_1H2,82.48299999999999,2.48,10.96,13.583686666534259,43.54017786842383,1.2335954292263274,0.7933379201352939,5.244691952217553,30.813975783887376
361,U1474,D,H,2,U1474D_1H2,84.48299999999999,2.5,11.59,13.326735107830292,43.753546691328204,1.183549564752975,0.7659864011992247,5.140062904136848,31.039584951177105
361,U1474,D,H,2,U1474D_1H2,86.48299999999999,2.52,11.27,12.894301488671907,42.77311491761748,1.1878971019125613,0.7858074753785533,5.220803439928891,32.347541196915245
361,U1474,D,H,2,U1474D_1H2,88.48299999999999,2.54,11.18,13.048451313873633,42.97150836238073,1.1067732940164223,0.7516157246338419,4.8189132573122775,32.51220366820773
361,U1474,D,H,2,U1474D_1H2,90.48299999999999,2.56,11.67,12.809211040901305,43.08680220919923,1.0827271740844813,0.7395457204399255,4.7018726723871165,32.78930680341259
361,U1474,D,H,2,U1474D_1H2,92.48299999999999,2.58,11.53,12.957128606798156,42.952162362755686,1.081332521204147,0.7345643150144973,4.675508972288623,32.80876884236353
361,U1474,D,H,2,U1474D_1H2,94.48299999999999,2.6,11.33,12.668648133048768,43.3113546209978,1.1004840272783278,0.7529965140046849,4.74646261289368,32.62951971220137
361,U1474,D,H,2,U1474D_1H2,96.48299999999999,2.62,10.75,12.944562259747888,43.70704588417499,1.1462705799050255,0.7657460753449398,4.877429369368202,31.7684114518836
361,U1474,D,H,2,U1474D_1H2,98.48299999999999,2.64,10.87,12.837503039225966,43.95409211532893,1.1475081240474947,0.7794246752079815,4.942080020382423,31.548857646231845
361,U1474,D,H,2,U1474D_1H2,100.48299999999999,2.66,11.41,13.24986396032446,42.837112130235994,1.1090242749954247,0.7611734138458959,4.780768328388338,32.471523512634526
361,U1474,D,H,2,U1474D_1H2,102.483,2.68,10.79,13.217826375858625,45.8612154356882,1.2910517695933725,0.8198745557128658,5.641196804893484,28.378300678678084
361,U1474,D,H,2,U1474D_1H2,104.483,2.7,10.38,13.66817502501055,46.34936880588905,1.337849102584156,0.8322404973923845,6.060921594541887,26.960910595006613
361,U1474,D,H,2,U1474D_1H2,106.483,2.72,10.36,12.902987232750688,46.34624927433184,1.3530387369251886,0.8512971315076566,6.088853372131298,27.667039872777963
361,U1474,D,H,2,U1474D_1H2,108.483,2.74,10.69,13.740668206657274,46.78316494512658,1.359356568500501,0.8227702712039133,5.7634231968735845,26.74008243206278
361,U1474,D,H,2,U1474D_1H2,110.483,2.76,10.61,13.428387865712155,46.603052882354774,1.335756048116779,0.8205991301832185,5.914749146882575,27.10692054717515
361,U1474,D,H,2,U1474D_1H2,112.483,2.78,10.65,13.469545661172068,46.617143996904666,1.414909407757826,0.8407554504005447,6.273631349154267,26.593479755035254
361,U1474,D,H,2,U1474D_1H2,114.483,2.8,10.04,13.271838577482608,47.001276602459505,1.405576468348633,0.8332338489502704,6.564143621167934,26.13339650201569
361,U1474,D,H,2,U1474D_1H2,116.483,2.82,10.53,12.46016535206487,47.959870286068885,1.5109922699685143,0.8399356794531508,7.5824999282243315,24.856002104644887
361,U1474,D,H,2,U1474D_1H2,118.483,2.84,10.44,13.6905485159776,47.448300281070566,1.4239689607237476,0.8399012718333262,6.2204461009223495,25.58630048989705
361,U1474,D,H,2,U1474D_1H2,120.483,2.86,10.44,13.840342355392593,47.87948434303965,1.478177639543939,0.8547555744362031,5.9406475861596455,25.216058121852598
361,U1474,D,H,2,U1474D_1H2,122.483,2.88,10.13,13.893315923103179,47.90741422798035,1.5134783122976065,0.8652531378519934,6.160539483614134,24.86946453557738
361,U1474,D,H,2,U1474D_1H2,124.483,2.9,10.05,13.653875707732023,48.80802879827498,1.6689678221156043,0.9010701445928763,6.8377838875534716,23.339739260155675
361,U1474,D,H,2,U1474D_1H2,126.483,2.92,9.56,13.72696067108426,48.96972822298091,1.5946847044634047,0.8787372704922984,6.602772232280658,23.436582519123096
361,U1474,D,H,2,U1474D_1H2,128.483,2.94,9.64,13.619845965955658,49.39084552729423,1.6734579372968752,0.896325704604031,6.696968519385262,22.932021965888566
361,U1474,D,H,2,U1474D_1H2,130.483,2.96,10.16,13.811309644077781,49.24225473212531,1.6763380675822388,0.9053788311143484,6.73253853652972,22.84164580899523
361,U1474,D,H,2,U1474D_1H2,132.483,2.98,9.82,13.458977211815037,49.315480909431024,1.6893766412251234,0.913221411617589,6.937431987567603,22.894977458768263
361,U1474,D,H,2,U1474D_1H2,134.483,3.0,9.94,13.465782952542048,48.95239573787286,1.6595787318291026,0.9229434786545759,6.628814894293351,23.57994982523269
361,U1474,D,H,2,U1474D_1H2,136.483,3.02,9.66,13.657905397666822,48.61942128519406,1.684801366509296,0.9255400745659289,6.876316278345116,23.445481218143406
361,U1474,D,H,2,U1474D_1H2,138.483,3.04,9.84,13.510146604345627,49.70502922659722,1.7622952520572044,0.9044188675673046,7.146845430922081,22.1807302389352
361,U1474,D,H,2,U1474D_1H2,140.483,3.06,10.0,13.814200713988821,49.43883200437198,1.7369711590198604,0.8900514785776169,7.192408171162827,22.13700209330354
361,U1474,D,H,2,U1474D_1H2,142.483,3.08,9.64,13.347219024015821,49.53107506341605,1.6787392101640881,0.8793830523492172,6.97031067636978,22.802738594109687
361,U1474,D,H,2,U1474D_1H2,144.483,3.1,9.56,12.231982906804168,49.230933248429224,1.547612310740384,0.8837896653920475,6.953614029352469,24.361533459706337
361,U1474,D,H,3,U1474D_1H3,0.353,3.16,12.63,9.767438231823675,60.054411937373075,0.714922320071189,0.424345335605479,2.6699440692239285,21.578403726327295
361,U1474,D,H,3,U1474D_1H3,2.353,3.18,12.14,9.422277904444504,59.562147088973425,0.7298234452595421,0.48042831623395355,2.8483298277434588,22.16645903776975
361,U1474,D,H,3,U1474D_1H3,4.353,3.2,13.6,9.683294213636163,53.68073294836879,0.5511661232123614,0.42652930313949894,2.822128248048792,28.045614784019044
361,U1474,D,H,3,U1474D_1H3,6.353,3.22,13.27,9.067486749712188,56.537836804095996,0.5846653666079067,0.42885653976025323,2.9144731747406123,25.67614698550769
361,U1474,D,H,3,U1474D_1H3,8.353,3.24,10.5,7.876204495955844,66.43428751727973,0.8702841072695271,0.5263312217674998,3.2886783838791045,16.213679894272957
361,U1474,D,H,3,U1474D_1H3,10.353,3.26,9.34,9.982096667966346,60.54005481094588,1.5683257698482749,0.7461863171763337,5.305796116185279,17.067005938302533
361,U1474,D,H,3,U1474D_1H3,12.353,3.28,10.36,13.50735530797879,47.609845503486646,1.5554990507480224,0.8788168288022872,5.783578210326119,25.874370719082773
361,U1474,D,H,3,U1474D_1H3,14.353,3.3,10.39,13.752795564681316,46.808331209930266,1.578058045661425,0.8966062987773532,6.012177826322862,26.161496675051414
361,U1474,D,H,3,U1474D_1H3,16.352999999999998,3.32,9.95,13.608494988774627,47.56463112946512,1.6184370099475793,0.8946850885906132,6.085429249809163,25.43778815383753
361,U1474,D,H,3,U1474D_1H3,18.352999999999998,3.34,10.27,14.059034035386114,46.83932760097402,1.5433124677331862,0.8465847294780893,5.937012260312036,25.984194526541195
361,U1474,D,H,3,U1474D_1H3,20.352999999999998,3.36,10.87,13.992619983471174,45.88209592778989,1.5003482572916806,0.8407246871955568,5.768621197470138,27.22505556720621
361,U1474,D,H,3,U1474D_1H3,22.353,3.38,10.43,14.21751166804946,45.26843001605344,1.360678866376317,0.8244758858931182,5.257360095617812,28.28100908843449
361,U1474,D,H,3,U1474D_1H3,24.353,3.4,10.87,13.594008096687608,45.15068689691071,1.3108712627390438,0.791449274960285,5.226453304318399,29.135996784808576
