,Al2O3/CaO,Fe2O3/CaO,K2O/CaO,SiO2/CaO,TiO2/CaO
α,0.7183907783422216,0.7772701057387104,1.2064960612537043,0.7048375471098177,0.6616121077546917
β,4.205460664824663,0.6640485238015679,0.6989822677853192,3.8168575704203116,-1.3696895296524243
