Depth (m),Al,Si,K,Ca,Ti,Fe
114.08,15.316934453889347,45.05551941113221,2.4558771715295675,30.210978194986595,0.798472939449057,6.16221782901322
114.1,15.481686333666653,44.75808830212923,2.447232299189168,30.28030773386571,0.7949570383507141,6.237728292798518
114.12,15.15101509930092,44.93708031812901,2.40401307966355,30.529376569308187,0.7877155122215648,6.190799421376777
114.14,15.386472798055761,44.48071601472698,2.2574393588634867,31.190932621929996,0.7819094822648611,5.902529724158919
114.16,14.998111863923604,44.86611927706536,2.2954404317618784,30.999404956585796,0.7815925531836958,6.059330917479666
114.18,14.99747895313775,44.59072350218782,2.216901966650755,31.4788285046986,0.7775742066362891,5.938492866688783
114.2,15.275638355032253,44.478149924527784,2.2285070129595854,31.388617756636368,0.7786680664343422,5.850418884409685
114.22,15.139836698263965,44.39586262559111,2.187589088256068,31.633186551050603,0.7707362569286971,5.872788779909565
114.24,15.1315264450359,44.091050791578326,2.136968536440572,31.717034616068716,0.7533762102099888,6.170043400666505
114.26,14.629452000037604,44.574232333797504,2.114740003994021,32.185886854578875,0.7656949607100424,5.729993846881969
114.28,14.902364117581717,44.498536189050256,2.081058804285888,32.01046361633641,0.7627412874157408,5.74483598533001
114.3,15.12095824018964,44.60616639260956,2.2271927367797937,31.377651741136336,0.7699756554417179,5.898055233842948
114.32,15.03748362458114,44.75712988335795,2.275891697136406,31.217395966550427,0.7813725259621971,5.930726302411876
114.34,15.281089668812639,44.639279347080674,2.1650204606448216,31.35658203991461,0.7719480343810803,5.786080449166173
114.36,14.908383338325692,44.550409009762625,2.134172043302387,31.804528610773662,0.7586460759876558,5.843860921847977
114.38,14.944457404340975,44.557300387502956,2.126135904809544,31.826109630859456,0.7702349449202817,5.775761727566793
114.4,15.22903643290159,44.43492115954474,2.086913090355676,31.83224352058316,0.7610224711456042,5.6558633254692285
114.42,14.760476678529352,44.44170360225184,2.0780387811013044,32.17313310860925,0.763702429179188,5.782945400329069
114.44,14.895622697685104,44.33148249211043,2.0542142029103347,32.20840488013399,0.7640791443385946,5.74619658282155
114.46,14.870981012133216,44.53261742212844,2.0574452248053627,32.09847000271032,0.7613008799368437,5.679185458285815
114.48,14.754118701678355,44.24305164291029,2.01578020640995,32.506354548338756,0.7582908932305271,5.722404007432123
114.5,14.495553465630909,44.165148151325845,2.0201438452084943,32.48451720595235,0.7515034268062069,6.083133905076184
114.52,14.713605801192056,44.128259248483474,2.0477182965045344,32.194817661152356,0.7548333439791332,6.160765648688449
114.54,14.637043795492596,44.44311365553235,2.0989486918463847,32.17329492982987,0.7607630157300029,5.886835911568789
114.56,14.51711421915078,44.57006575836815,2.1726600249084456,31.985181372182183,0.7761708569953653,5.9788077683950815
114.58,14.846626192717679,44.462660230665435,2.1510827683858116,31.785928999887368,0.7668855425309286,5.986816265812775
114.6,14.479458042847742,44.75626117946655,2.106426414314199,32.11937285182197,0.7615785588872122,5.776902952662337
