,Solution Label,Al2O3,Ba,CaO,Cr,Cu,Fe2O3,K2O,MgO,MnO,Na2O,Ni,P2O5,Sc,SiO2,Sr,TiO2,V,Y,Zn,Zr,Depth CCSF (m)
40,1474 1H1,12.821382688196241,586.670105857857,28.38071490493024,123.7505007485995,14.138680888951928,4.501503768809044,1.005698895244623,1.4371666070729572,0.0597461645913938,2.0716071409311065,41.43418404233719,0.13985696717680257,11.704855901669129,48.561570243518375,941.9679442232119,0.69953516307477,74.22641412595624,24.207224159629078,98.5895143729756,244.15361118165393,1.0
41,1474 2H1,13.586487266440328,625.1000716900836,22.179350086355228,148.8730103351203,32.426528542152596,5.175793642115802,1.2710158107283394,1.6112560702275496,0.05992460022416039,2.167458930569401,48.35765271165125,0.1470678659581371,13.385246297016968,49.32094287150087,782.8445503838263,0.7678008135785348,85.99503320876033,26.048481014981206,100.16225718392916,206.65773191621295,5.99
42,1474 2H5,11.688655027674557,451.47367222652,37.373422126684346,92.72002070740605,32.26838492671862,3.2928178914727377,0.8318693247350603,1.0291875805348243,0.06346627188964428,1.388522317592507,22.916885702038464,0.15786509814506502,9.372346648399262,39.075758922384054,1465.137060100103,0.5391255676164133,52.73624949142117,22.71322369250964,100.55828686699135,178.93982267296676,10.365
43,1474 3H3,12.35647522941894,473.25684842871016,33.59275962233618,113.27317045327112,18.15793736842948,4.397410523331349,0.8449321271465225,1.324070085747367,0.05628363627191822,1.6811105041536247,48.47922207601344,0.15073910358356943,11.491166020411502,40.897025861979,1410.4782250017172,0.5965202972978312,82.22521477808864,22.24676198957968,99.19329437624357,173.86060107113946,16.963
44,1474 3H5,12.108118703068541,582.4490119754474,35.00889238869224,101.25924352214786,36.979210707888335,4.0362608941314475,0.9211420666614321,1.211467319528019,0.06088904556239999,1.4141151605474835,36.09637100213293,0.15886993364098084,10.480637131856316,40.00541944440664,1442.2070018595375,0.5809879593736588,65.58309487070052,24.971157103863312,99.71172976921476,144.24695571433037,19.963
46,1474 4H4,12.332046722282865,511.7738441367208,30.230232262794335,113.11831264762617,17.860664574111457,4.205579066175506,1.0593175875982674,1.439812182351498,0.045751727041172044,1.905437206506393,50.8836559502188,0.11856866151020685,10.578055196265904,47.38500132981297,1121.4150081653104,0.6456788184952896,73.16530010932425,23.443459852020382,98.1114312508905,231.2170342406939,30.625999999999998
47,1474 6H2,14.203124035144043,532.3847995385191,22.94169720696498,140.85324618625577,43.22323863232606,6.285378036403241,1.8090897616869568,2.0812642058435022,0.05516365609296439,2.091410953451818,58.16365725970885,0.1384742090598057,15.438080475425052,51.84911611930594,896.2570191696709,0.7522605840497363,100.07756038020636,25.179547896987152,101.31367771706567,186.56702781614393,48.03
48,1474 6H5,12.79174059870277,625.7590921110557,31.832390780319308,117.17716697346617,40.00049699656002,4.387887545096248,1.3500996397575595,1.5427117591762392,0.06749983385059326,1.6800985025268058,48.69040369142414,0.1583117989922687,12.156284147511775,45.45166317198273,1265.3367464481682,0.6640232076994201,70.34976359405299,25.38046460563133,99.15141478675142,164.680311622618,52.61
49,1474 7H7,13.54696754332824,571.9742447746875,24.561310832050385,120.06683177839608,36.74457319387557,5.636539663083666,1.542290199656574,1.7279377092623078,0.04782497845924805,1.9608212008207542,71.37248626348185,0.12051752308299277,13.399726292425893,49.643353023316934,943.5523068976958,0.7040228480020392,87.34176694269753,25.272454600707267,101.07676237534524,182.60916668691908,65.06
52,1474 10H2,13.525403916314335,457.3287995580106,30.79195802514193,134.75057384081225,52.17269650174203,5.191003993971897,1.1761121523065197,1.8128140521206881,0.05117242815050478,2.2181366712459805,53.990298826556895,0.17937986813508178,13.831875856105464,49.13623473962871,1148.243979488192,0.7157459512031683,93.39344982423644,24.887504267231108,100.79042526061963,199.59269458144573,89.95
