Exp,Site,Hole,Core,Type,Section,A/W,Top Offset (cm),Top Depth (m CSF-A),Top Depth (m CCSF*),Old,Al2O3,Ba,CaO,Cr,Cu,Fe2O3,K2O,MgO,MnO,Na2O,Ni,P2O5,Sc,SiO2,Sr,TiO2,V,Y,Zn,Zr
361,U1474,A,1,H,1,W,92,0.92,1.07,1.0,12.821382688196241,586.670105857857,28.380714904930233,123.7505007485995,14.138680888951932,4.501503768809044,1.0056988952446224,1.437166607072958,0.05974616459139381,2.071607140931106,41.434184042337186,0.13985696717680254,11.704855901669129,48.561570243518375,941.9679442232119,0.6995351630747701,74.22641412595621,24.207224159629078,98.5895143729756,244.15361118165387
361,U1474,A,2,H,1,W,129,6.69,6.02,5.99,13.586487266440328,625.1000716900837,22.179350086355218,148.8730103351203,32.4265285421526,5.175793642115803,1.271015810728339,1.6112560702275514,0.05992460022416041,2.167458930569402,48.357652711651255,0.1470678659581371,13.385246297016966,49.32094287150086,782.844550383826,0.7678008135785347,85.99503320876032,26.048481014981206,100.16225718392916,206.65773191621295
361,U1474,A,2,H,5,W,20,11.6,10.25,10.365,11.688655027674557,451.47367222651997,37.373422126684325,92.72002070740604,32.26838492671861,3.2928178914727377,0.8318693247350596,1.0291875805348254,0.06346627188964428,1.388522317592507,22.916885702038467,0.15786509814506502,9.37234664839926,39.075758922384054,1465.1370601001029,0.5391255676164134,52.736249491421155,22.713223692509636,100.55828686699134,178.93982267296678
361,U1474,A,3,H,3,W,76,18.66,17.01,16.963,12.35647522941894,473.25684842871016,33.59275962233617,113.27317045327112,18.15793736842947,4.397410523331349,0.8449321271465219,1.3240700857473686,0.05628363627191822,1.681110504153625,48.479222076013464,0.15073910358356943,11.4911660204115,40.897025861978996,1410.4782250017174,0.5965202972978312,82.22521477808863,22.24676198957968,99.19329437624356,173.86060107113946
361,U1474,A,3,H,5,W,76,21.66,19.963,19.963,12.108118703068541,582.4490119754474,35.008892388692225,101.25924352214783,36.97921070788834,4.0362608941314475,0.9211420666614316,1.2114673195280203,0.060889045562400004,1.4141151605474835,36.096371002132926,0.15886993364098081,10.480637131856314,40.00541944440664,1442.2070018595375,0.5809879593736588,65.5830948707005,24.971157103863312,99.71172976921476,144.24695571433037
361,U1474,A,4,H,4,W,113,30.03,30.614,30.625999999999998,12.332046722282865,511.77384413672075,30.23023226279432,113.11831264762614,17.86066457411145,4.205579066175505,1.0593175875982668,1.439812182351499,0.04575172704117206,1.9054372065063931,50.88365595021881,0.11856866151020683,10.5780551962659,47.385001329812965,1121.4150081653106,0.6456788184952897,73.16530010932422,23.443459852020382,98.11143125089049,231.2170342406939
361,U1474,A,6,H,2,W,77,45.67,48.044,48.03,14.203124035144043,532.3847995385191,22.941697206964974,140.85324618625575,43.22323863232606,6.285378036403241,1.8090897616869561,2.0812642058435036,0.0551636560929644,2.0914109534518186,58.16365725970885,0.13847420905980565,15.43808047542505,51.84911611930594,896.2570191696708,0.7522605840497364,100.07756038020634,25.179547896987152,101.31367771706566,186.5670278161439
361,U1474,A,6,H,5,W,84,50.24,52.6,52.61,12.79174059870277,625.7590921110558,31.832390780319297,117.17716697346617,40.00049699656002,4.387887545096249,1.350099639757559,1.5427117591762405,0.06749983385059326,1.6800985025268058,48.690403691424144,0.1583117989922687,12.156284147511775,45.45166317198272,1265.3367464481682,0.6640232076994201,70.34976359405296,25.38046460563134,99.15141478675142,164.680311622618
361,U1474,A,7,H,7,W,52,62.42,65.05,65.06,13.546967543328238,571.9742447746875,24.561310832050378,120.06683177839605,36.744573193875574,5.636539663083666,1.5422901996565737,1.7279377092623092,0.04782497845924806,1.9608212008207542,71.37248626348185,0.12051752308299274,13.399726292425893,49.64335302331693,943.5523068976955,0.7040228480020393,87.34176694269752,25.272454600707263,101.07676237534524,182.60916668691908
361,U1474,A,10,H,2,W,106,83.96,90.11,89.95,13.525403916314335,457.3287995580106,30.79195802514192,134.75057384081222,52.172696501742024,5.191003993971896,1.1761121523065192,1.81281405212069,0.0511724281505048,2.218136671245981,53.990298826556916,0.17937986813508178,13.831875856105464,49.13623473962871,1148.243979488192,0.7157459512031682,93.39344982423646,24.887504267231108,100.79042526061963,199.5926945814457
361,U1474,A,12,H,4,W,104,105.97,114.2,114.255,13.43577639112262,510.7120914695185,26.089015459800553,118.98623663538751,30.828572126082456,5.609286276363672,1.2990032174141448,1.7893573084969496,0.060565765903341104,2.2260428031395976,71.23590101893728,0.16580859066447085,13.113024577735628,45.78842056978271,1104.204245117942,0.6973180429143371,90.8703521676681,24.162115140666877,100.3319163363594,151.864520346853
361,U1474,A,13,H,4,W,106,115.47,124.323,124.37,14.469216955321858,520.9945535724136,20.259767946652165,146.08464372445226,30.166029224352528,6.372916018992007,1.9477070342484855,1.9867517260137246,0.06421063441873448,2.11517680979127,69.35478531559707,0.13697583037182648,15.49253412566778,50.81867002669484,869.5987534233616,0.7895420729354468,100.22094088872628,26.21105479105989,100.71799290731052,177.06604998918925
361,U1474,A,14,H,4,W,102,124.92,135.234,135.234,13.254612521731122,549.6859322061447,26.503495808846694,150.16346112544286,32.273074861872054,4.729734666462583,1.6692047096758214,1.6827847059763292,0.04240410964468699,2.026324058446308,46.14553910195777,0.16679241259479666,12.659412226213377,54.84967009252976,960.0799678205512,0.7724876893275467,85.8722598417183,27.844132866517604,99.49905620814683,323.78435899756437
361,U1474,A,15,H,2,W,106,131.47,141.10399999999998,141.095,14.161900811037803,443.38401945730203,25.760520258367702,148.19694678870698,39.46327660976194,5.721777001042664,1.8403109873655803,1.9467557600607375,0.054707110239301415,1.9437984681182414,62.39198516946177,0.14985826561650306,15.256499853284652,48.18443609494722,1095.9194365196577,0.7600827882297119,104.95216148844402,25.444102427244967,101.2544179290114,175.5725784800706
361,U1474,A,16,H,6,W,102,146.92,156.46,156.46,14.417192702672896,493.3405412170828,22.413911681677014,139.1087035116155,35.783898372881154,5.776071836547547,1.9330907189696775,1.937839050202387,0.056444705821512786,2.14987734516829,54.15998666280871,0.1124063067852284,15.398520144579209,50.95713974998646,900.9683362164309,0.7803102752284924,110.88035361362573,25.535794402412954,105.42378199873221,173.2659769285637
361,U1474,A,17,H,2,W,102,150.42,159.446,159.46,13.091530662590413,462.02711485040595,27.250791077404656,126.89687354875613,28.345119780323465,4.567199803947473,1.4163584790653794,1.5216937839836544,0.05542061521352619,1.9890159861297025,34.52248308571657,0.12423682176014325,12.166072121628705,48.81953692648729,1063.3568771634373,0.710122779674258,80.59727819273886,24.493922010581603,130.27189231423782,233.52484550311243
361,U1474,A,18,H,4,W,101,162.91,174.325,174.325,12.606686513733244,425.89250938635297,28.71669807299161,124.00204566080188,27.40498328997632,4.082903165857817,1.3094768898148936,1.2743574027362539,0.04755831573101346,1.7432567929891185,34.982762086587684,0.13469299272106758,11.367701865638528,47.49478082426963,1123.4694391672963,0.6817292635928498,71.36168290296419,24.47369361946571,100.97012882252544,216.91478761981958
